day	hour	value
1	1	0
1	2	0
1	3	0
1	4	0
1	5	0
1	6	2
1	7	4
1	8	13
1	9	26
1	10	58
1	11	61
1	12	59
1	13	53
1	14	54
1	15	64
1	16	55
1	17	52
1	18	53
1	19	18
1	20	3
1	21	9
1	22	12
1	23	2
1	24	8
2	1	2
2	2	0
2	3	8
2	4	2
2	5	0
2	6	2
2	7	4
2	8	14
2	9	31
2	10	48
2	11	46
2	12	50
2	13	66
2	14	54
2	15	56
2	16	67
2	17	54
2	18	23
2	19	14
2	20	6
2	21	8
2	22	7
2	23	0
2	24	8
3	1	2
3	2	0
3	3	2
3	4	0
3	5	0
3	6	0
3	7	4
3	8	8
3	9	8
3	10	6
3	11	14
3	12	12
3	13	9
3	14	14
3	15	0
3	16	4
3	17	7
3	18	6
3	19	0
3	20	0
3	21	0
3	22	0
3	23	0
3	24	0
4	1	7
4	2	6
4	3	0
4	4	0
4	5	0
4	6	0
4	7	0
4	8	0
4	9	0
4	10	0
4	11	2
4	12	2
4	13	5
4	14	6
4	15	0
4	16	4
4	17	0
4	18	2
4	19	10
4	20	7
4	21	0
4	22	19
4	23	9
4	24	4
5	1	16
5	2	20
5	3	0
5	4	0
5	5	0
5	6	2
5	7	0
5	8	9
5	9	25
5	10	49
5	11	57
5	12	61
5	13	37
5	14	66
5	15	70
5	16	55
5	17	51
5	18	55
5	19	17
5	20	20
5	21	9
5	22	4
5	23	0
5	24	12
6	1	6
6	2	2
6	3	0
6	4	0
6	5	0
6	6	2
6	7	4
6	8	11
6	9	28
6	10	49
6	11	51
6	12	47
6	13	38
6	14	65
6	15	60
6	16	50
6	17	65
6	18	50
6	19	22
6	20	11
6	21	12
6	22	9
6	23	0
6	24	13
7	1	5
7	2	8
7	3	8
7	4	0
7	5	0
7	6	2
7	7	5
7	8	12
7	9	34
7	10	43
7	11	54
7	12	44
7	13	40
7	14	48
7	15	54
7	16	59
7	17	60
7	18	51
7	19	21
7	20	16
7	21	9
7	22	5
7	23	4
7	24	7
